POST   /v1/customer/customer-organizations/options/batch  |  Get customer organization options by IDs  |  [customer] Customer Options
POST   /v1/staff/uf-dashboard/ticket-count-trend  |  Get UF ticket count trend over time  |  [staff] UF Dashboard
POST   /v1/staff/report/staff/productive/report  |  Get staff productive report  |  [staff] Wfm Dashboard
POST   /v1/staff/report/staff/productivity/timeline  |  Get staff productivity timeline  |  [staff] Wfm Dashboard
POST   /v1/staff/report/staff/workforce/page  |  Get staff workforce page data  |  [staff] Wfm Dashboard
POST   /v1/staff/report/staff/workforce/shift-timeline  |  Get staff shift timeline data  |  [staff] Wfm Dashboard
POST   /v1/staff/report/staff/workforce/statistic  |  Get staff statistic data  |  [staff] Wfm Dashboard
POST   /v1/staff/report/staff/workforce/ticket/activity  |  Get ticket activity statistics  |  [staff] Wfm Dashboard
POST   /v1/staff/report/staff/workforce/timeline  |  Get staff workforce timeline data  |  [staff] Wfm Dashboard
POST   /v1/staff/workflow/definition/activate/{key}  |  Activate process definition by key  |  [staff] Workflow Definition Management
POST   /v1/staff/workflow/definition/deploy  |  Deploy workflow definition  |  [staff] Workflow Definition Management
POST   /v1/staff/workflow/definition/deploy-file  |  Deploy workflow definition by file  |  [staff] Workflow Definition Management
POST   /v1/staff/workflow/definition/page  |  Query process definitions  |  [staff] Workflow Definition Management
POST   /v1/staff/workflow/definition/suspend/{key}  |  Suspend process definition by key  |  [staff] Workflow Definition Management
GET    /v1/staff/workflow/definition/{id}  |  Get process definition by ID  |  [staff] Workflow Definition Management
POST   /v1/staff/workflow/diagram/info  |  Get workflow diagram information  |  [staff] Workflow Diagram Management
POST   /v1/staff/workflow/instances/cancel  |  Cancel process instance  |  [staff] Workflow Instance Management
POST   /v1/staff/workflow/instances/historic/page  |  Query historic process instances  |  [staff] Workflow Instance Management
POST   /v1/staff/workflow/instances/start  |  Start workflow  |  [staff] Workflow Instance Management
POST   /v1/staff/workflow/instances/tasks/complete  |  Complete task  |  [staff] Workflow Instance Management
POST   /v1/staff/workflow/instances/tasks/historic/page  |  Query historic tasks  |  [staff] Workflow Instance Management
POST   /v1/staff/workflow/instances/tasks/my-tasks/page  |  Query my tasks  |  [staff] Workflow Instance Management
POST   /v1/staff/workflow/instances/tasks/page  |  Query active tasks  |  [staff] Workflow Instance Management
GET    /v1/staff/workflow/instances/tasks/{taskId}  |  Get historic task by ID  |  [staff] Workflow Instance Management
GET    /v1/staff/workflow/instances/{processInstanceId}  |  Get historic process instance by ID  |  [staff] Workflow Instance Management
POST   /v1/staff/report/staff/workforce/exception  |  -  |  [staff] anomaly-analysis-controller
POST   /v1/staff/customers  |  -  |  [staff] customer-controller
DELETE /v1/staff/customers/batch/organization  |  -  |  [staff] customer-controller
PUT    /v1/staff/customers/batch/organization  |  -  |  [staff] customer-controller
POST   /v1/staff/customers/options/batch  |  -  |  [staff] customer-controller
POST   /v1/staff/customers/page  |  -  |  [staff] customer-controller
GET    /v1/staff/customers/phone/{phone}  |  -  |  [staff] customer-controller
GET    /v1/staff/customers/{id}  |  -  |  [staff] customer-controller
PUT    /v1/staff/customers/{id}  |  -  |  [staff] customer-controller
PUT    /v1/staff/customers/{id}/password/reset  |  -  |  [staff] customer-controller
POST   /v1/staff/customer-organizations  |  -  |  [staff] customer-organization-controller
POST   /v1/staff/customer-organizations/options/batch  |  -  |  [staff] customer-organization-controller
POST   /v1/staff/customer-organizations/page  |  -  |  [staff] customer-organization-controller
GET    /v1/staff/customer-organizations/{id}  |  -  |  [staff] customer-organization-controller
PUT    /v1/staff/customer-organizations/{id}  |  -  |  [staff] customer-organization-controller
POST   /v1/staff/extend/facility  |  -  |  [staff] facility-controller
POST   /v1/staff/extend/facility/options/batch  |  -  |  [staff] facility-controller
POST   /v1/staff/extend/facility/page  |  -  |  [staff] facility-controller
GET    /v1/staff/extend/facility/{id}  |  -  |  [staff] facility-controller
PUT    /v1/staff/extend/facility/{id}  |  -  |  [staff] facility-controller
POST   /v1/staff/extend/roster  |  -  |  [staff] roster-controller
POST   /v1/staff/extend/roster/page  |  -  |  [staff] roster-controller
GET    /v1/staff/extend/roster/personnel-list  |  -  |  [staff] roster-controller
GET    /v1/staff/extend/roster/running-job-info  |  -  |  [staff] roster-controller
POST   /v1/staff/extend/roster/update-job  |  -  |  [staff] roster-controller
DELETE /v1/staff/extend/roster/{id}  |  -  |  [staff] roster-controller
GET    /v1/staff/extend/roster/{id}  |  -  |  [staff] roster-controller
PUT    /v1/staff/extend/roster/{id}  |  -  |  [staff] roster-controller
POST   /v1/staff/extend/roster/primary-contact-review/batch-confirm  |  -  |  [staff] roster-primary-contact-review-controller
GET    /v1/staff/extend/roster/primary-contact-review/contact-rules  |  -  |  [staff] roster-primary-contact-review-controller
GET    /v1/staff/extend/roster/primary-contact-review/exclude-emails  |  -  |  [staff] roster-primary-contact-review-controller
POST   /v1/staff/extend/roster/primary-contact-review/page  |  -  |  [staff] roster-primary-contact-review-controller
GET    /v1/staff/extend/roster/primary-contact-review/stats  |  -  |  [staff] roster-primary-contact-review-controller
POST   /v1/staff/extend/roster/primary-contact-review/submit  |  -  |  [staff] roster-primary-contact-review-controller
POST   /v1/staff/extend/roster/primary-contact-review/unlock/{id}  |  -  |  [staff] roster-primary-contact-review-controller
POST   /v1/staff/extend/teams/channel/credentials  |  -  |  [staff] teams-channel-controller
GET    /v1/staff/extend/teams/channel/credentials/status  |  -  |  [staff] teams-channel-controller
POST   /v1/staff/extend/teams/channel/credentials/test  |  -  |  [staff] teams-channel-controller
GET    /v1/staff/extend/teams/channel/kb/config  |  -  |  [staff] teams-channel-controller
PUT    /v1/staff/extend/teams/channel/kb/config  |  -  |  [staff] teams-channel-controller
GET    /v1/staff/extend/teams/channel/kb/list  |  -  |  [staff] teams-channel-controller
GET    /v1/staff/extend/teams/channel/oauth/callback  |  -  |  [staff] teams-channel-controller
GET    /v1/staff/extend/teams/channel/oauth/url  |  -  |  [staff] teams-channel-controller
POST   /v1/staff/extend/teams/channel/page  |  -  |  [staff] teams-channel-controller
POST   /v1/staff/extend/teams/channel/sync  |  -  |  [staff] teams-channel-controller
GET    /v1/staff/extend/teams/channel/{id}  |  -  |  [staff] teams-channel-controller
PUT    /v1/staff/extend/teams/channel/{id}/enabled  |  -  |  [staff] teams-channel-controller
POST   /v1/staff/ticket-escalations  |  -  |  [staff] ticket-escalation-controller
GET    /v1/staff/ticket-escalations/ticket/{ticketId}/channels  |  -  |  [staff] ticket-escalation-controller
GET    /v1/staff/ticket-escalations/ticket/{ticketId}/current  |  -  |  [staff] ticket-escalation-controller
GET    /v1/staff/ticket-escalations/ticket/{ticketId}/list  |  -  |  [staff] ticket-escalation-controller
GET    /v1/staff/ticket-escalations/ticket/{ticketId}/summary/stream  |  -  |  [staff] ticket-escalation-controller
GET    /v1/staff/ticket-escalations/{ticketEscalationId}/messages  |  -  |  [staff] ticket-escalation-controller
POST   /v1/staff/ticket-escalations/{ticketEscalationId}/reply  |  -  |  [staff] ticket-escalation-controller
POST   /v1/staff/ticket/side-conversations  |  -  |  [staff] ticket-side-conversation-controller
POST   /v1/staff/ticket/side-conversations/reply  |  -  |  [staff] ticket-side-conversation-controller
GET    /v1/staff/ticket/side-conversations/ticket/{ticketId}  |  -  |  [staff] ticket-side-conversation-controller
GET    /v1/staff/ticket/side-conversations/{id}  |  -  |  [staff] ticket-side-conversation-controller
POST   /v1/staff/ticket/side-conversations/{sideConversationId}/messages  |  -  |  [staff] ticket-side-conversation-controller
POST   /v1/staff/user/batch-parse-and-create  |  -  |  [staff] user-info-controller
GET    /v1/staff/user/search  |  -  |  [staff] user-info-controller
POST   /v1/tenant/tenants  |  Create tenant  |  [tenant] Tenant Management
POST   /v1/tenant/tenants/batch  |  Get tenants by IDs  |  [tenant] Tenant Management
GET    /v1/tenant/tenants/domain-available  |  Check domain availability  |  [tenant] Tenant Management
GET    /v1/tenant/tenants/domain/{domain}  |  Get tenant by domain  |  [tenant] Tenant Management
GET    /v1/tenant/tenants/enabled  |  Get all enabled tenants  |  [tenant] Tenant Management
POST   /v1/tenant/tenants/page  |  Page query tenants  |  [tenant] Tenant Management
DELETE /v1/tenant/tenants/{id}  |  Delete tenant  |  [tenant] Tenant Management
GET    /v1/tenant/tenants/{id}  |  Get tenant by ID  |  [tenant] Tenant Management
PUT    /v1/tenant/tenants/{id}  |  Update tenant  |  [tenant] Tenant Management
